method,dataset,known_cls_ratio,labeled_ratio,cluster_num_factor,seed,ACC,F1,K-F1,N-F1,args
ab,mcid,0.5,0.1,1.0,2025,58.9,47.2,44.6,67.6,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""mcid"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/mcid_sbert_0.5_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,20NG,0.5,0.1,1.0,2025,59.2,54.9,53.8,65.0,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""3"", ""dataset"": ""20NG"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/20NG_sbert_0.5_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,DBPedia,0.5,0.1,1.0,2025,49.2,29.8,29.5,56.4,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""1"", ""dataset"": ""DBPedia"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/DBPedia_sbert_0.5_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,news,0.5,0.1,1.0,2025,50.7,45.5,44.2,58.5,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""2"", ""dataset"": ""news"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/news_sbert_0.5_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,thucnews,0.5,0.1,1.0,2025,34.2,28.3,26.2,43.5,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""thucnews"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/thucnews_sbert_0.5_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,TREC,0.5,0.1,1.0,2025,43.1,22.8,22.8,0.0,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""3"", ""dataset"": ""TREC"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/TREC_sbert_0.5_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,Yahoo,0.5,0.1,1.0,2025,49.2,44.7,42.2,57.2,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""1"", ""dataset"": ""Yahoo"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/Yahoo_sbert_0.5_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,banking,0.75,0.1,1.0,2025,58.6,61.9,62.1,50.8,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""2"", ""dataset"": ""banking"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/banking_sbert_0.75_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,clinc,0.75,0.1,1.0,2025,68.4,72.3,72.4,59.0,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""clinc"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/clinc_sbert_0.75_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,stackoverflow,0.75,0.1,1.0,2025,61.6,65.2,66.0,53.5,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""3"", ""dataset"": ""stackoverflow"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/stackoverflow_sbert_0.75_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,hwu,0.75,0.1,1.0,2025,67.2,66.6,66.6,65.6,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""1"", ""dataset"": ""hwu"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/hwu_sbert_0.75_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,mcid,0.75,0.1,1.0,2025,42.3,42.9,43.0,41.8,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""2"", ""dataset"": ""mcid"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/mcid_sbert_0.75_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,20NG,0.75,0.1,1.0,2025,54.4,58.1,58.8,46.2,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""20NG"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/20NG_sbert_0.75_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,DBPedia,0.75,0.1,1.0,2025,33.7,25.8,25.8,24.7,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""3"", ""dataset"": ""DBPedia"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/DBPedia_sbert_0.75_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,thucnews,0.75,0.1,1.0,2025,27.1,24.8,24.3,30.0,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""1"", ""dataset"": ""thucnews"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/thucnews_sbert_0.75_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,news,0.75,0.1,1.0,2025,44.5,46.3,46.7,40.0,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""2"", ""dataset"": ""news"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/news_sbert_0.75_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,TREC,0.75,0.1,1.0,2025,38.0,17.6,17.6,0.0,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""TREC"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/TREC_sbert_0.75_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,Yahoo,0.75,0.1,1.0,2025,44.9,46.7,47.7,38.7,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""3"", ""dataset"": ""Yahoo"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.75, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/Yahoo_sbert_0.75_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,clinc,0.25,0.1,1.0,2025,82.6,67.7,67.1,88.6,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""2"", ""dataset"": ""clinc"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/clinc_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,banking,0.25,0.1,1.0,2025,76.4,58.4,57.0,84.8,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""1"", ""dataset"": ""banking"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/banking_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,stackoverflow,0.25,0.1,1.0,2025,73.7,58.1,53.1,83.2,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""stackoverflow"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/stackoverflow_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,clinc,0.25,0.1,1.0,2025,82.6,67.7,67.1,88.6,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""3"", ""dataset"": ""clinc"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/clinc_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,banking,0.25,0.1,1.0,2025,76.4,58.4,57.0,84.8,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""banking"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/banking_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,stackoverflow,0.25,0.1,1.0,2025,73.7,58.1,53.1,83.2,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""2"", ""dataset"": ""stackoverflow"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/stackoverflow_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,clinc,0.25,0.1,1.0,2025,82.6,67.7,67.1,88.6,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""3"", ""dataset"": ""clinc"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/clinc_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,banking,0.25,0.1,1.0,2025,76.4,58.4,57.0,84.8,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""banking"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/banking_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,stackoverflow,0.25,0.1,1.0,2025,73.7,58.1,53.1,83.2,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""2"", ""dataset"": ""stackoverflow"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/stackoverflow_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,hwu,0.25,0.1,1.0,2025,85.9,62.5,60.7,92.4,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""hwu"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/hwu_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,banking,0.25,0.1,1.0,2025,76.4,58.4,57.0,84.8,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""banking"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/banking_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,clinc,0.25,0.1,1.0,2025,82.6,67.7,67.1,88.6,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""3"", ""dataset"": ""clinc"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/clinc_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,stackoverflow,0.25,0.1,1.0,2025,73.7,58.1,53.1,83.2,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""2"", ""dataset"": ""stackoverflow"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/stackoverflow_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,hwu,0.25,0.1,1.0,2025,85.9,62.5,60.7,92.4,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""3"", ""dataset"": ""hwu"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/hwu_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,banking,0.25,0.1,1.0,2025,76.4,58.4,57.0,84.8,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""banking"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/banking_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,clinc,0.25,0.1,1.0,2025,82.6,67.7,67.1,88.6,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""3"", ""dataset"": ""clinc"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/clinc_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,banking,0.25,0.1,1.0,2025,76.4,58.4,57.0,84.8,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""banking"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/banking_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,clinc,0.25,0.1,1.0,2025,82.6,67.7,67.1,88.6,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""clinc"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/clinc_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,stackoverflow,0.25,0.1,1.0,2025,73.7,58.1,53.1,83.2,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""2"", ""dataset"": ""stackoverflow"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/stackoverflow_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,hwu,0.25,0.1,1.0,2025,85.9,62.5,60.7,92.4,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""hwu"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/hwu_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,mcid,0.25,0.1,1.0,2025,72.5,49.5,41.3,82.3,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""2"", ""dataset"": ""mcid"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/mcid_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,20NG,0.25,0.1,1.0,2025,78.7,60.3,55.0,86.9,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""1"", ""dataset"": ""20NG"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/20NG_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,DBPedia,0.25,0.1,1.0,2025,70.6,31.5,30.6,81.1,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""2"", ""dataset"": ""DBPedia"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/DBPedia_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,news,0.25,0.1,1.0,2025,66.7,49.3,43.7,77.7,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""3"", ""dataset"": ""news"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/news_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,thucnews,0.25,0.1,1.0,2025,32.7,26.7,22.6,43.1,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""thucnews"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/thucnews_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,TREC,0.25,0.1,1.0,2025,50.8,36.5,36.5,0.0,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""1"", ""dataset"": ""TREC"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/TREC_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,Yahoo,0.25,0.1,1.0,2025,72.5,55.8,42.5,82.5,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""3"", ""dataset"": ""Yahoo"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.25, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/Yahoo_sbert_0.25_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,banking,0.5,0.1,1.0,2025,67.3,61.6,61.3,73.6,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""3"", ""dataset"": ""banking"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/banking_sbert_0.5_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,clinc,0.5,0.1,1.0,2025,73.3,70.3,70.2,76.4,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""0"", ""dataset"": ""clinc"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/clinc_sbert_0.5_2025"", ""save_results_path"": ""results/openset/ab""}"
ab,stackoverflow,0.5,0.1,1.0,2025,66.9,63.4,62.5,72.1,"{""config"": ""configs/openset/ab.yaml"", ""seed"": 2025, ""gpu_id"": ""1"", ""dataset"": ""stackoverflow"", ""data_dir"": ""./data"", ""known_cls_ratio"": 0.5, ""labeled_ratio"": 0.1, ""cluster_num_factor"": 1.0, ""fold_idx"": 0, ""num_train_epochs"": 50, ""fold_num"": 5, ""emb_name"": ""sbert"", ""alpha"": 0.35, ""output_dir"": ""./outputs/openset/ab/stackoverflow_sbert_0.5_2025"", ""save_results_path"": ""results/openset/ab""}"
